id,last,first,team,years,extra
guldk001,Gulden,Kelly,st-catherine,2001|2002,
nguy-001,Nguyen,,carleton,2002,
gruds001,Grudnowski,Sarah,st-thomas-mn,2001,
smit-001,Smith,,saint-marys-mn,2001,
hjelk001,Hjelm,Karina,hamline,2001,
19---001,19,,northwestern-stpaul,2001,
storm001,Storey,Megan,carleton,2001,
mielc001,Mielke,Claire,gust-adolphus,2001,
5----001,5,,northwestern-stpaul,2001,
somac001,Soma,Chris,macalester,2001|2002,
kellk001,Kellen,Kayla,concordia-m'head,2001,
fitzc001,Fitzpatrick,Colleen,st-thomas-mn,2002,
jasta001,Jastrow,Angie,martin-luther,2002,
johns001,Johnson,Stacie,concordia-m'head,2001|2002,
portl001,Porter,Lindsey,bethel-mn,2001,
singb001,Singleton,Beth,neb-wesleyan,2002,
baume001,Bauman,Emily,st-thomas-mn,2001,
lembs001,Lembcke,Sara,minn-morris,2001,
foskb001,Foskett,Becky,bethel-mn,2001,
harbn001,Harberts,Nikki,wis-river-falls,2002,
keglk001,Kegler,Krystal,gust-adolphus,2001,
meye-001,Meyer,,saint-marys-mn,2001,
albes001,Alberhasky,Sarah,northwestern-stpaul,2002,
conoe001,Conover,Emily,bethel-mn,2001,
sjog-001,Sjogren,,cornell-college,2002,
mcki-001,McKinley,,st-olaf,2002,
chrig001,Christenson,Grete,st-olaf,2001,
bode-001,Bodeen,,st-benedict,2001,
munz-001,Munzenmaier,,saint-marys-mn,2001|2002,
licha001,Lichty,Angela,simon-fraser,2002,
wortj001,Worthington,Jessica,concordia-m'head,2002,
rigg-001,Riggs,,dana,2002,
limb-001,Limberg,,saint-marys-mn,2001,
lee--001,Lee,,augsburg,2001,
ordoj001,Ordos,Jennifer,minn-morris,2001,
haal-001,Haaland*,,st-olaf,2002,
hess-001,Hesse,,st-benedict,2002,
wallr001,Wall,Rachel,bethel-mn,2001,
olsoh001,Olson,Holly,wis-river-falls,2002,
12---001,12,,northwestern-stpaul,2001,
rewis001,Rewitzer,Stella,minn-morris,2001,
melil001,Melius,Lisa,concordia-m'head,2001,
mosec001,Moses,Christina,st-olaf,2001,
pedem001,Pedersen,Meghan,macalester,2001|2002,
espi-001,Espinosa,,carleton,2002,
bauel001,Bauer,Lisa,macalester,2002,
sela-001,Selander,,augsburg,2001,
rath-001,Rathburn,,pacific-or,2002,
poula001,Poulter,Anna,wis-river-falls,2002,
graye001,Gray,Erin,martin-luther,2002,
rekok001,Rekonen,Kellie,carleton,2001,
chavj001,Chavez,Jaclyn,macalester,2001,
johnm001,Johnson,Megan,concordia-m'head,2001|2002,
holms001,Holm,Sarah,gust-adolphus,2001,
haalk001,Haaland,Kirsten,st-olaf,2001,
sweea001,Sweeney,Andrea,st-thomas-mn,2002,
grubt001,Gruber,Tanna,northwestern-stpaul,2002,
bergj001,Bergren,Jen,northwestern-stpaul,2002,
oboym001,O'Boyle,Meghan,st-thomas-mn,2001|2002,
mackc001,Mackey,Carie,hamline,2001,
dykh-001,Dykhoff,,st-benedict,2002,
bredp001,Bredemus,Patty,st-catherine,2001|2002,
stevp001,Stevens,Paige,simon-fraser,2002,
pontj001,Pontius,Jill,concordia-m'head,2001,
quiga001,Quigley,Amanda,minn-morris,2001,
cols-001,Colson,,st-olaf,2002,
caha-001,Cahanes,,saint-marys-mn,2002,
lotta001,Lottie,Anne,minn-morris,2001,
langj001,Langenfeld,Julie,gust-adolphus,2001,
lide-001,Lideen,,augsburg,2001,
adamc001,Adams,Caitlin,macalester,2002,
dorna001,Dorn,Adrienne,macalester,2001|2002,
mullm001,Mulligan,Meghann,wis-river-falls,2002,
conw-001,Conway,,saint-marys-mn,2002,
corm-001,Cormican,,saint-marys-mn,2002,
sinka001,Sinkel,Alex,hamline,2001,
promj001,Prom,Jessica,macalester,2001,
korbj001,Korba,Jennifer,st-catherine,2002,
kochc001,Koch,Cynthia,dana,2002,
rohra001,Rohrbach,Allyson,st-thomas-mn,2002,
1----001,1,,northwestern-stpaul,2001,
shan-001,Shannon,,pacific-or,2002,
beckl001,Becker,Lindsey,wis-river-falls,2002,
pott-001,Potts,,st-benedict,2002,
whitj001,White,Jamie,dana,2002,
wilkr001,Wilkens,Rachel,martin-luther,2002,
blas-001,Blaser,,saint-marys-mn,2001,
taylk001,Taylor,Kristine,simon-fraser,2002,
carra001,Carroll,Andrea,carleton,2001,
sandj001,Sanders,Jamie,dana,2002,
monte001,Montoya,Elisha,macalester,2002,
lohm-001,Lohmann,,saint-marys-mn,2001|2002,
henn-001,Hennes,,pacific-or,2002,
keena001,Keene,Abby,wis-river-falls,2002,
schas001,Scharf,Sarah,martin-luther,2002,
23---001,23,,northwestern-stpaul,2001,
batoj001,Batol,Jamie,neb-wesleyan,2002,
spie-001,Spiess,,augsburg,2001,
18---001,18,,northwestern-stpaul,2001,
eple-001,Epley,,dana,2002,
armsj001,Armstrong,Jessica,macalester,2002,
engld001,Englehorn,Danielle,concordia-m'head,2001,
